Pedro de Aguado|Pedro de Aguado|Aguado, Pedro de|16thC-||2|0|Found: via work_scan OpenL
Grace Aguilar|Grace Aguilar|Aguilar, Grace, 1816-1847|1816-1847|1816-1847|5|1|Found: via dates
Emilio Aguinaldo|Emilio Aguinaldo|Aguinaldo, Emilio, 1869-1964|1869-1964|1869-1964|2|1|Found: via dates
NA|Richard E. Ahlborn|Ahlborn, Richard E.|||1|0|
August Ahlqvist|August Ahlqvist|Ahlqvist, August, 1826-1889|1826-1889|1826-1889|3|0|Found: via dates
Juhani Aho|Juhani Aho|Aho, Juhani, 1861-1921|1861-1921|1861-1921|26|1|Found: via dates
NA|Kalle Aho|Aho, Kalle, 1865-1936||1865-1936|0|0|
NA|Jacob Ahrenberg|Ahrenberg, Jac.|||1|0|
NA|Jacob Ahrenberg|Ahrenberg, Jacob, 1847-1914||1847-1914|5|0|
Jean Aicard|Jean Aicard|Aicard, Jean, 1848-1921|1848-1921|1848-1921|2|1|Found: via dates
Conrad Aiken|Conrad Aiken|Aiken, Conrad, 1889-1973|1889-1973|1889-1973|1|1|Found: via dates
Lucy Aikin|Lucy Aikin|Aikin, Lucy, 1781-1864|1781-1864|1781-1864|1|1|Found: via dates
NA|Charles Morton Aikman|Aikman, Charles Morton|||1|0|
William Aikman (writer)|William Aikman|Aikman, William, 1824-1909|1824-1909|1824-1909|1|0|Found: via dates
Gustave Aimard|Gustave Aimard|Aimard, Gustave, 1818-1883|1818-1883|1818-1883|28|1|Found: via dates
William Simonds (author)|Walter Aimwell|Aimwell, Walter, 1822-1859|1822-1859|1822-1859|1|1|Found: via dates
NA|Aina|Aina, 1856-1928||1856-1928|0|0|
NA|Ainajushi|Ainajushi|||0|0|
Alfred Ainger|Alfred Ainger|Ainger, Alfred, 1837-1904|1837-1904|1837-1904|1|1|Found: via dates
NA|Dimitrios Ainian|Ainian, Dimitrios, 1800-1881||1800-1881|0|0|
NA|Arthur Ainslie|Ainslie, Arthur|||1|0|
NA|Percy Clough Ainsworth|Ainsworth, Percy C. (Percy Clough), 1873-1909||1873-1909|0|0|
William Harrison Ainsworth|William Harrison Ainsworth|Ainsworth, William Harrison, 1805-1882|1805-1882|1805-1882|12|1|Found: via dates
NA|Väinö Airola|Airola, Väinö|||0|0|
George Biddell Airy|George Biddell Airy|Airy, George Biddell, 1801-1892|1801-1892|1801-1892|1|1|Found: via dates
Edward Hamilton Aitken|Edward Hamilton Aitken|Aitken, Edward Hamilton, 1851-1909|1851-1909|1851-1909|2|1|Found: via dates
NA|Aiyuezhuren|Aiyuezhuren|||0|0|
Mark Akenside|Mark Akenside|Akenside, Mark, 1721-1770|1721-1770|1721-1770|1|1|Found: via dates
NA|Florence Akin|Akin, Florence, 1878-||1878-|1|0|
Thomas Beamish Akins|Thomas Beamish Akins|Akins, Thomas Beamish, 1809-1891|1809-1891|1809-1891|1|0|Found: via dates
Sergey Aksakov|Sergei Timofeevich Aksakov|Aksakov, S. T. (Sergei Timofeevich), 1791-1859|1791-1859|1791-1859|1|0|Found: via dates
Ryūnosuke Akutagawa|Ryunosuke Akutagawa|Akutagawa, Ryunosuke, 1892-1927|1892-1927|1892-1927|1|1|Found: via dates
NA|Jean Marie Aladel|Aladel, Jean Marie|||0|0|
Alain-Fournier|Alain-Fournier|Alain-Fournier, 1886-1914|1886-1914|1886-1914|1|1|Found: via dates
Pedro Antonio de Alarcón|Pedro Antonio de Alarcón|Alarcón, Pedro Antonio de, 1833-1891|1833-1891|1833-1891|4|1|Found: via dates
Leopoldo Alas|Leopoldo Alas|Alas, Leopoldo, 1852-1901|1852-1901|1852-1901|2|1|Found: via dates
NA|John Albee|Albee, John, 1833-1915||1833-1915|0|0|
NA|António José da Costa Couto Sá de Albergaria|Albergaria, António José da Costa Couto Sá de, 1850-1921||1850-1921|1|0|
NA|John Alberger|Alberger, John|||1|0|
NA|Adolfo Albertazzi|Albertazzi, Adolfo, 1865-1924||1865-1924|0|0|
NA|Caetano Alberto da Silva|Alberto da Silva, Caetano, 1843-1924||1843-1924|0|0|
NA|Catherine Albertson|Albertson, Catherine, 1868-||1868-|1|0|Possible Type 2: Kathryn Albertson
Deborah Alcock|Deborah Alcock|Alcock, Deborah|1835-1913||2|0|Found: via work_scan OpenL
Amos Bronson Alcott|Amos Bronson Alcott|Alcott, Amos Bronson|1799-1888||1|0|Found: via work_scan OpenL
Louisa May Alcott|Louisa May Alcott|Alcott, Louisa May, 1832-1888|1832-1888|1832-1888|48|1|Found: via dates
William Alcott|William Andrus Alcott|Alcott, William A. (William Andrus), 1798-1859|1798-1859|1798-1859|5|1|Found: via dates
NA|John B. Alden|Alden, John B.|||1|0|
Raymond Macdonald Alden|Raymond MacDonald Alden|Alden, Raymond MacDonald, 1873-1924||1873-1924|0|0|Found: via dates
NA|Lewis Raymond Alderman|Alderman, Lewis Raymond|||1|0|
NA|Matt. W. Alderson|Alderson, Matt. W.|||1|0|
NA|Anne Reeve Aldrich|Aldrich, Anne Reeve, 1866-1892||1866-1892|0|0|
Mildred Aldrich|Mildred Aldrich|Aldrich, Mildred, 1853-1928|1853-1928|1853-1928|3|1|Found: via dates
Thomas Bailey Aldrich|Thomas Bailey Aldrich|Aldrich, Thomas Bailey, 1836-1907|1836-1907|1836-1907|19|1|Found: via dates
NA|Janet Aldridge|Aldridge, Janet|||6|1|
Ethel Brilliana Tweedie|Ethel Alec-Tweedie|Alec-Tweedie, Mrs. (Ethel), -1940|1862-1940|-1940|2|0|Found: via work_scan WParticle
José de Alencar|José Martiniano de Alencar|Alencar, José Martiniano de, 1829-1877|1829-1877|1829-1877|3|1|Found: via dates
Sibilla Aleramo|Sibilla Aleramo|Aleramo, Sibilla, 1876-1960|1876-1960|1876-1960|1|1|Found: via dates
Arnold Aletrino|Arnold Aletrino|Aletrino, Arnold, 1858-1916|1858-1916|1858-1916|1|0|Found: via dates
NA|Arch. Alexander|Alexander, Arch.|||1|0|
NA|Archibald Browning Drysdale Alexander|Alexander, Archibald B. D. (Archibald Browning Drysdale), 1855-1931||1855-1931|0|0|
NA|Charles Wesley Alexander|Alexander, Charles Wesley, 1837-1927||1837-1927|0|0|
De Alva S. Alexander|De Alva Stanwood Alexander|Alexander, De Alva Stanwood, 1845-1925|1846-1925|1845-1925|1|0|Found: via work_scan OpenL
NA|Gross Alexander|Alexander, Gross, 1852-1915||1852-1915|0|0|
NA|John L. Alexander|Alexander, John L., 1878-1932||1878-1932|0|0|
NA|Alexander|Alexander, Mrs., 1825-1902||1825-1902|2|0|Possible Type 2: Alexander
Virginia M. Alexander|Virginia M. Alexander|Alexander, Virginia M.|1900-1949||1|0|Found: via work_scan OpenL
William Alexander (bishop)|William Alexander|Alexander, William|1824-1911||1|0|Found: via manual
Alexandre Dumas|Alexandre Dumas (pere)|Alexandre Dumas (pere)|1802-1870||1|1|Found: via work_scan OpenL
Willibald Alexis|Willibald Alexis|Alexis, Willibald, 1798-1871|1798-1871|1798-1871|2|0|Found: via dates
Vittorio Alfieri|Vittorio Alfieri|Alfieri, Vittorio, 1749-1803|1749-1803|1749-1803|4|0|Found: via dates
NA|George Howard Alford|Alford, George Howard, 1875-1958||1875-1958|0|0|
Henry Alford|Henry Alford|Alford, Henry, 1810-1871|1810-1871|1810-1871|1|1|Found: via dates
NA|Visess Marianne Margaret Compton Cust Alford|Alford, Marianne Margaret Compton Cust, Viscountess, 1817-1888||1817-1888|0|0|
NA|Frank H. Alfriend|Alfriend, Frank H.|||1|0|
Horatio Alger, Jr.|Horatio Alger|Alger, Horatio, 1832-1899|1832-1899|1832-1899|62|1|Found: via dates
NA|William Rounseville Alger|Alger, William Rounseville, 1822-1905||1822-1905|0|0|
